text,action
방금 신촌역에서 말벌 쏘여서 부었어요,emergency
서울숲에서 자전거 탔어요,none
경의선숲길에 말벌 쏘여서 퉁퉁 부었어요,emergency
홍대입구역에서 말벌 보여서 무서워요,emergency
정자역 주변에 말벌 에 쏘였어요,emergency
경의선숲길 날씨 맑아요,none
부산 해운대에서 커피 마셨어요,none
오늘 한강공원 근처에 모기 엄청 많네요,dispatch
어제 두정역에서 말벌 출현했습니다,emergency
러브 버그 진짜 예뻐,none
러브버그 물리면 어떻게 처치하나요?,guide
어제 대구 동성로에서 love bug 보여요,dispatch
말 벌 퇴치 방법 알려주세요,guide
단국대 천안캠퍼스 갔다가 love bugs 출몰했어요,dispatch
말 벌 어떻게 없애나요?,guide
모기 예방하는 방법 있나요?,guide
아까 뚝섬한강공원에서 러브버그 잔뜩 있어요,dispatch
오늘 부산 해운대 근처에 말 벌 쏘여서 숨쉬기 힘들어요,emergency
뚝섬한강공원 근처에 말 벌 쏘여서 부었어요,emergency
오늘 수원역 근처에 말벌 쏘여서 아파요,emergency
천안아산역에서 친구 만났어요,none
어제 경의선숲길에서 love bugs 보여요,dispatch
사당역에서 love bugs 기어다녀요,dispatch
대구 동성로에서 말 벌 출현했습니다,emergency
뚝섬한강공원 갔다가 말 벌 때문에 위험해요,emergency
오늘 말 벌 쏘여서 부었어요,emergency
북서울꿈의숲 말벌집 때문에 위험해요,emergency
월드컵공원 다녀왔어요,none
아까 은평구 불광천에서 말 벌 때문에 호흡이 가빠요,emergency
아까 불당동에서 모기 물린 데가 심하게 부었어요,emergency
천호역 카페에서 공부 중이에요,none
서울숲에서 러브버그 신고합니다,dispatch
두정역에서 말벌 때문에 호흡이 가빠요,emergency
어제 올림픽공원에서 말 벌 쏘여서 아파요,emergency
아까 한강공원에서 모기 물린 데가 심하게 부었어요,emergency
아까 두정역에서 말벌 쏘여서 퉁퉁 부었어요,emergency
오늘 뚝섬한강공원 근처에 진드기 물려서 열이 나요,emergency
아까 부천역에서 말 벌 출현했습니다,emergency
모기 소문만 들었습니다,none
창원 상남동 산책 좋네요,none
방금 한강공원에서 빈대 천지예요,dispatch
오늘 남산공원 근처에 말벌 출현했습니다,emergency
어제 경의선숲길에서 빈대 물린 데가 심하게 부었어요,emergency
은평구 불광천 주변에 말 벌 출현했습니다,emergency
빈대 생기는 이유가 뭐예요?,guide
어제 천호역에서 말 벌 출현했습니다,emergency
남산공원 갔다가 말벌 에 쏘였어요,emergency
대구 동성로 근처에 빈대 출현했습니다,dispatch
춘천 명동 근처에 말 벌 때문에 위험해요,emergency
말벌 보고 싶어,none
아까 인천 송도에서 모기 천지예요,dispatch
올림픽공원에서 커피 마셨어요,none
러브버그랑 비슷한 곤충이 뭐예요?,guide
방금 대구 동성로에서 love bugs 신고합니다,dispatch
춘천 명동 도착했습니다,none
아까 건대입구역에서 바퀴벌레 기어다녀요,dispatch
두정역 벚꽃 폈어요,none
울산 삼산동에서 바퀴벌레 때문에 불편해요,dispatch
말벌 정말 사랑스러워,none
모기에 대해 알려줘,guide
광주 충장로에서 쇼핑했어요,none
이태원역 산책 좋네요,none
광주 충장로에 모기 신고할게요,dispatch
난 러브 버그 사랑해,none
일산 호수공원 갔다가 진드기 엄청 많네요,dispatch
모기 왜 생겨요?,guide
인천 송도에 love bug 나왔어요,dispatch
아까 건대입구역에서 말벌 에 쏘였어요,emergency
어제 단국대 천안캠퍼스에서 빈대 물린 데가 심하게 부었어요,emergency
천호역 근처에 말벌 쏘여서 아파요,emergency
광주 충장로에서 친구 만났어요,none
방금 전주 한옥마을에서 말 벌 들어왔어요,emergency
어제 대전역에서 love bug 너무 많아요,dispatch
모란역에서 말벌 에 쏘였어요,emergency
방금 올림픽공원에서 러브버그 나왔어요,dispatch
모란역에서 말벌 보여서 무서워요,emergency
빈대 어디서 사나요?,guide
빈대 뉴스 봤는데 신기하네요,none
빈대 캐릭터 인형을 샀어요,none
수원역 근처에 말벌 쏘여서 숨쉬기 힘들어요,emergency
작년엔 러브 버그 많았는데,none
남산공원에서 러브버그 출몰했어요,dispatch
건대입구역에서 진드기 뒤덮었어요,dispatch
석촌호수에 말 벌 한테 쏘였어요,emergency
방금 보라매공원에서 말벌 쏘여서 부었어요,emergency
단국대 천안캠퍼스에서 커피 마셨어요,none
뚝섬한강공원에서 자전거 탔어요,none
바퀴벌레 어떻게 생겼나요?,guide
예전에 말벌 진짜 많았어,none
방금 올림픽공원에서 말벌 에 쏘였어요,emergency
말 벌 특징이 뭐예요?,guide
어제 잠실역에서 말 벌 쏘여서 퉁퉁 부었어요,emergency
그땐 러브 버그 많았는데,none
방금 인천 송도에서 말벌 때문에 위험해요,emergency
바퀴벌레 그림을 그렸어요,none
전주 한옥마을에 진드기 나왔어요,dispatch
방금 천호역에서 모기 물려서 호흡이 가빠요,emergency
서울숲에 러브버그 너무 많아요,dispatch
말벌 밈 친구가 보냈어요,none
강남역 주변에 말벌 쏘여서 숨쉬기 힘들어요,emergency
뚝섬한강공원에서 진드기 물려서 심하게 부었어요,emergency
모란역 갔다가 러브 버그 신고할게요,dispatch
천안역 근처에 모기 뒤덮었어요,dispatch
모기 정보 좀 알려주세요,guide
어제 석촌호수에서 말 벌 출현했습니다,emergency
러브버그 퇴치 방법 궁금해요,guide
이태원역 주변에 러브 버그 뒤덮었어요,dispatch
신촌역 주변에 말벌 보여서 무서워요,emergency
광화문 구경 잘했어요,none
오늘 잠실역 근처에 진드기 기어다녀요,dispatch
수원역 근처에 말벌 쏘여서 아파요,emergency
광주 충장로 날씨 맑아요,none
노원역에 말 벌 쏘여서 숨쉬기 힘들어요,emergency
방금 서울숲에서 말벌 출현했습니다,emergency
모기 안 생기게 하려면?,guide
love bug 캐릭터 좋아해,none
말벌 진짜 예뻐,none
어린이대공원 사람 많네요,none
한강공원에 말벌 쏘여서 아파요,emergency
수원역 갔다가 빈대 때문에 불편해요,dispatch
신촌역에 말벌 에 쏘였어요,emergency
뚝섬한강공원 근처에 말벌 때문에 호흡이 가빠요,emergency
아까 성수역에서 말벌 쏘여서 퉁퉁 부었어요,emergency
오늘 모란역 근처에 모기 방역이 필요해요,dispatch
아까 울산 삼산동에서 love bug 방역이 필요해요,dispatch
안양역 주변에 진드기 기어다녀요,dispatch
벌써 여름이네요,none
포항 영일대 근처에 말 벌 때문에 위험해요,emergency
말벌에 대해 알려줘,guide
어제 제주 노형동에서 말 벌 보여서 무서워요,emergency
홍대입구역에서 쇼핑했어요,none
학창시절엔 러브버그 흔했지,none
이태원역 근처에 러브 버그 떼로 봤어요,dispatch
성수역 구경 잘했어요,none
어제 부산 해운대에서 love bugs 기어다녀요,dispatch
love bug라는 단어를 배웠어요,none
신촌역에 말벌 때문에 위험해요,emergency
빈대 왜 생겨요?,guide
어제 천호역에서 러브버그 엄청 많네요,dispatch
방금 천안아산역에서 말 벌 쏘여서 부었어요,emergency
아까 의정부역에서 말벌 때문에 위험해요,emergency
불당동 벚꽃 폈어요,none
신촌역에 러브 버그 보여요,dispatch
북서울꿈의숲 근처에 love bug 신고할게요,dispatch
어릴 때 바퀴벌레 물린 적 있어,none
천호역 야경 예쁘네요,none
성수역에서 말 벌 보여서 무서워요,emergency
일산 호수공원에 모기 천지예요,dispatch
보라매공원 주변에 말 벌 한테 쏘였어요,emergency
뚝섬한강공원 주변에 러브 버그 나왔어요,dispatch
러브 버그 방제 방법 궁금해요,guide
말벌 없애는 법 알려줘,guide
옛날엔 빈대 자주 봤지,none
방금 보라매공원에서 진드기 보여요,dispatch
청주 성안길 갔다가 말벌 쏘여서 아파요,emergency
방금 노원역에서 모기 너무 많아요,dispatch
노원역에서 love bug 출몰했어요,dispatch
광주 충장로 산책 좋네요,none
사당역 벚꽃 폈어요,none
진드기 어떻게 없애나요?,guide
love bug 물리면 어떻게 처치하나요?,guide
love bug 너무 좋아요,none
백석대에 빈대 보여요,dispatch
말벌 안 생기게 하려면?,guide
부산 광안리 갔다가 러브버그 잔뜩 있어요,dispatch
대전역 갔다가 말벌 때문에 위험해요,emergency
여의도공원 주변에 말 벌 때문에 위험해요,emergency
남산공원에 말벌 쏘여서 퉁퉁 부었어요,emergency
두정역 근처에 말 벌 쏘여서 부었어요,emergency
두정역에 빈대 출몰했어요,dispatch
방금 전주 한옥마을에서 러브 버그 엄청 많네요,dispatch
잠실역 주변에 말 벌 때문에 위험해요,emergency
월드컵공원 갔다가 진드기 출몰했어요,dispatch
광교호수공원 근처에 love bugs 보여요,dispatch
대전역 맛집 다녀왔어요,none
러브 버그 사진을 봤어요,none
북서울꿈의숲 다녀왔어요,none
방금 월드컵공원에서 빈대 방역이 필요해요,dispatch
광주 충장로 주변에 말벌 쏘여서 퉁퉁 부었어요,emergency
러브버그 퇴치 방법 알려주세요,guide
사당역 근처에 러브버그 엄청 많네요,dispatch
방금 동탄에서 진드기 물린 자국이 퉁퉁 부었어요,emergency
은평구 불광천 갔다가 빈대 방역이 필요해요,dispatch
난 말벌 사랑해,none
말 벌라는 단어를 배웠어요,none
동탄 주변에 러브 버그 천지예요,dispatch
강남역 주변에 말 벌 출현했습니다,emergency
러브 버그 특징이 뭐예요?,guide
대전역 근처에 love bug 나왔어요,dispatch
나는 바퀴벌레를 사랑해,none
오늘 포항 영일대 근처에 말 벌 들어왔어요,emergency
방금 단국대 천안캠퍼스에서 말벌 보여서 무서워요,emergency
불당동에서 쇼핑했어요,none
월드컵공원 야경 예쁘네요,none
러브버그 어떻게 막나요?,guide
단국대 천안캠퍼스 근처에 말벌 때문에 위험해요,emergency
작년엔 말 벌 많았는데,none
월드컵공원에서 자전거 탔어요,none
모기 정말 사랑스러워,none
어제 두정역에서 바퀴벌레 천지예요,dispatch
남산공원에서 빈대 출현했습니다,dispatch
모기 어떻게 관리하나요?,guide
아까 부천역에서 말벌 쏘여서 퉁퉁 부었어요,emergency
말벌 방제 방법 궁금해요,guide
수원역에서 love bug 천지예요,dispatch
포항 영일대 도착했습니다,none
러브 버그 어떻게 막나요?,guide
러브버그 언제 많이 나오나요?,guide
오늘 동탄 근처에 빈대 들끓어요,dispatch
말벌 영화 제목 같네요,none
아까 동탄에서 말벌 쏘여서 아파요,emergency
광교호수공원 갔다가 말 벌 쏘여서 퉁퉁 부었어요,emergency
오늘 일산 호수공원 근처에 모기 물려서 호흡이 가빠요,emergency
서울숲 맛집 다녀왔어요,none
빈대 어떻게 관리하나요?,guide
천안역 갔다가 바퀴벌레 보여요,dispatch
불당동 갔다가 말벌 쏘여서 퉁퉁 부었어요,emergency
동탄에 말벌 한테 쏘였어요,emergency
뚝섬한강공원 갔다가 말벌 보여서 무서워요,emergency
천호역에서 말벌 보여서 무서워요,emergency
양재시민의숲 야경 예쁘네요,none
홍대입구역 갔다가 말벌 쏘여서 부었어요,emergency
오늘 부천역 근처에 말 벌 때문에 호흡이 가빠요,emergency
두정역에 말벌 쏘였어요,emergency
방금 춘천 명동에서 말 벌 쏘여서 퉁퉁 부었어요,emergency
한강공원 주변에 모기 물려서 호흡이 가빠요,emergency
이태원역 구경 잘했어요,none
아까 광교호수공원에서 love bugs 나왔어요,dispatch
러브버그 좋아해,none
노원역 주변에 love bug 천지예요,dispatch
이태원역 주변에 러브버그 방역 필요해요,dispatch
일산 호수공원 갔다가 모기 물린 데가 심하게 부었어요,emergency
어제 일산 호수공원에서 말 벌 쏘여서 부었어요,emergency
오늘 부산 해운대 근처에 말 벌 에 쏘였어요,emergency
광주 충장로에서 말벌 쏘여서 부었어요,emergency
학창시절엔 빈대 흔했지,none
아까 경의선숲길에서 말벌 쏘였어요,emergency
진드기 응원해,none
러브 버그 어떻게 쫓아내나요?,guide
말 벌 캐릭터 인형을 샀어요,none
광주 충장로 근처에 벌집이 있어요,emergency
노원역에서 진드기 물려서 열이 나요,emergency
옛날에 바퀴벌레 때문에 고생했었지,none
어제 잠실역에서 모기 물린 데가 심하게 부었어요,emergency
천안아산역에서 러브 버그 보여요,dispatch
창원 상남동에서 쇼핑했어요,none
바퀴벌레 소문만 들었습니다,none
러브 버그 캐릭터 좋아해,none
방금 창원 상남동에서 말벌 쏘여서 퉁퉁 부었어요,emergency
오늘 동탄 근처에 빈대 때문에 불편해요,dispatch
청주 성안길에 love bug 기어다녀요,dispatch
올림픽공원 근처에 모기 물려서 퉁퉁 부었어요,emergency
수원역에 말벌 집이 생겼어요,emergency
러브 버그 정말 사랑스러워,none
모기 응원해,none
은평구 불광천 벚꽃 폈어요,none
방금 춘천 명동에서 바퀴벌레 신고할게요,dispatch
아까 대구 동성로에서 모기 때문에 불편해요,dispatch
진드기 없애는 법 알려줘,guide
아까 창원 상남동에서 빈대 물린 데가 심하게 부었어요,emergency
작년엔 바퀴벌레 많았는데,none
정자역 갔다가 love bugs 출현했습니다,dispatch
말 벌 퇴치 방법 궁금해요,guide
동탄 도착했습니다,none
한강공원 날씨 맑아요,none
전주 한옥마을 도착했습니다,none
경의선숲길 근처에 말벌 한테 쏘였어요,emergency
아까 모란역에서 러브 버그 방역이 필요해요,dispatch
신촌역 갔다가 바퀴벌레 나왔어요,dispatch
러브 버그 검색해보니 사진이 징그러워요,none
광주 충장로 갔다가 love bugs 나왔어요,dispatch
석촌호수에서 말 벌 쏘여서 부었어요,emergency
모기 없애는 법 알려줘,guide
이태원역에 빈대 물린 데가 심하게 부었어요,emergency
뚝섬한강공원에서 love bugs 보여요,dispatch
한강공원 주변에 모기 물린 데가 심하게 부었어요,emergency
빈대 밈 친구가 보냈어요,none
성수역에서 커피 마셨어요,none
말벌 언제 많이 나오나요?,guide
방금 잠실역에서 모기 물린 데가 심하게 부었어요,emergency
말벌 모양 키링을 샀어요,none
아까 노원역에서 말 벌 쏘여서 부었어요,emergency
아까 여의도공원에서 말 벌 때문에 호흡이 가빠요,emergency
노원역 맛집 다녀왔어요,none
말 벌 응원해,none
어제 은평구 불광천에서 love bugs 보여요,dispatch
북서울꿈의숲 주변에 빈대 천지예요,dispatch
북서울꿈의숲에서 바퀴벌레 출몰했어요,dispatch
전주 한옥마을 주변에 러브버그 엄청 많네요,dispatch
아까 광교호수공원에서 말 벌 한테 쏘였어요,emergency
수원역 갔다가 love bugs 기어다녀요,dispatch
천안아산역에 love bugs 천지예요,dispatch
아까 포항 영일대에서 말 벌 에 쏘였어요,emergency
바퀴벌레 너무 귀여워요,none
광화문에서 자전거 탔어요,none
청주 성안길 주변에 러브버그 뒤덮었어요,dispatch
바퀴벌레 어떻게 예방하나요?,guide
모기 예방법이 궁금합니다,guide
오늘 동탄 근처에 love bugs 기어다녀요,dispatch
어제 전주 한옥마을에서 모기 물린 데가 심하게 부었어요,emergency
말벌 어떻게 없애요?,guide
서울숲에 love bug 기어다녀요,dispatch
어제 홍대입구역에서 말 벌 에 쏘였어요,emergency
안양역 갔다가 빈대 잔뜩 있어요,dispatch
한강공원 갔다가 love bug 잔뜩 있어요,dispatch
방금 일산 호수공원에서 진드기 물려서 열이 나요,emergency
지난해엔 말벌 심했었지,none
학창시절엔 love bug 흔했지,none
부산 광안리 주변에 모기 물려서 호흡이 가빠요,emergency
보라매공원 갔다가 모기 보여요,dispatch
서울숲에서 말벌 출현했습니다,emergency
천안역 야경 예쁘네요,none
모기 왜 생기나요?,guide
모기 키우고 싶어,none
아까 양재시민의숲에서 말벌 한테 쏘였어요,emergency
빈대 귀여워,none
작년엔 빈대 많았는데,none
대구 동성로에서 러브버그 보여요,dispatch
아까 단국대 천안캠퍼스에서 모기 신고합니다,dispatch
오늘 홍대입구역 근처에 말 벌 들어왔어요,emergency
인천 송도 사람 많네요,none
방금 안양역에서 love bugs 출몰했어요,dispatch
모기 어떻게 없애나요?,guide
동탄에서 말벌 쏘여서 퉁퉁 부었어요,emergency
의정부역 근처에 말벌 때문에 위험해요,emergency
러브버그 방제 방법 궁금해요,guide
아까 한강공원에서 말 벌 한테 쏘였어요,emergency
진드기에 대해 알려줘,guide
포항 영일대에서 love bug 신고합니다,dispatch
방금 광교호수공원에서 말벌 에 쏘였어요,emergency
빈대 너무 좋아,none
불당동에 말 벌 쏘여서 부었어요,emergency
방금 천안아산역에서 love bug 나왔어요,dispatch
아까 부산 해운대에서 빈대 천지예요,dispatch
보라매공원 근처에 러브버그 너무 많아요,dispatch
방금 두정역에서 러브 버그 출몰했어요,dispatch
오늘 천안역 근처에 모기 기어다녀요,dispatch
오늘 일산 호수공원 근처에 love bugs 신고할게요,dispatch
러브 버그 어떻게 생겼나요?,guide
제주 노형동 맛집 다녀왔어요,none
아까 노원역에서 love bug 출몰했어요,dispatch
러브버그 어떻게 예방하나요?,guide
백석대에서 점심 먹었어요,none
창원 상남동에 진드기 물린 자국이 퉁퉁 부었어요,emergency
오늘 정자역 근처에 러브버그 신고할게요,dispatch
천안아산역 주변에 말 벌 때문에 위험해요,emergency
방금 전주 한옥마을에서 말벌 에 쏘였어요,emergency
빈대 관련 기사 읽었습니다,none
보라매공원 산책 좋네요,none
오늘 모란역 근처에 러브버그 때문에 불편해요,dispatch
